request_id,source_location_id,destination_location_id,category,urgency,time_submitted,deadline,status,required_resource_type,description
23,44,31,SUSPICIOUS_ACTIVITY,4,2026-08-04T16:56:00Z,2026-08-04T17:19:00Z,PENDING,PATROL_OFFICER,Suspicious activity request.
24,45,16,CROWD_CONTROL,3,2026-08-05T11:50:00Z,2026-08-05T13:48:00Z,COMPLETED,CROWD_CONTROL_TEAM,Crowd control request.
25,30,26,EMERGENCY_TRANSPORT,3,2026-08-06T18:40:00Z,2026-08-06T20:18:00Z,ASSIGNED,RAPID_RESPONSE_TEAM,Emergency transport request.
26,45,34,THEFT_REPORT,4,2026-08-06T09:26:00Z,2026-08-06T09:47:00Z,PENDING,INVESTIGATION_TEAM,Theft report request.
27,1,21,MEDICAL_EMERGENCY,4,2026-08-03T07:55:00Z,2026-08-03T08:17:00Z,ASSIGNED,AMBULANCE,Medical emergency request.
28,44,34,CCTV_FAULT,2,2026-08-05T20:48:00Z,2026-08-05T23:27:00Z,IN_PROGRESS,CCTV_TECHNICIAN,CCTV fault request.
29,1,34,SECURITY_ESCORT,4,2026-08-04T21:08:00Z,2026-08-04T21:36:00Z,COMPLETED,PATROL_OFFICER,Security escort request.
30,4,24,ACCESS_CONTROL,1,2026-08-05T23:17:00Z,2026-08-06T08:08:00Z,COMPLETED,PATROL_OFFICER,Access control request.
31,4,31,SECURITY_ESCORT,2,2026-08-05T16:15:00Z,2026-08-05T19:19:00Z,ASSIGNED,PATROL_OFFICER,Security escort request.
32,1,13,WELFARE_CHECK,4,2026-08-02T16:38:00Z,2026-08-02T17:09:00Z,PENDING,PATROL_OFFICER,Welfare check request.
33,3,27,SUSPICIOUS_ACTIVITY,5,2026-08-04T11:48:00Z,2026-08-04T12:02:00Z,ASSIGNED,PATROL_OFFICER,Suspicious activity request.
34,44,18,ACCESS_CONTROL,3,2026-08-03T07:01:00Z,2026-08-03T08:05:00Z,COMPLETED,PATROL_OFFICER,Access control request.
35,44,16,CROWD_CONTROL,4,2026-08-04T19:50:00Z,2026-08-04T20:22:00Z,COMPLETED,CROWD_CONTROL_TEAM,Crowd control request.
36,1,10,FIRE_ALARM,4,2026-08-02T10:32:00Z,2026-08-02T11:00:00Z,COMPLETED,FIRE_RESPONSE_UNIT,Fire alarm request.
37,4,28,SECURITY_ESCORT,4,2026-08-06T23:37:00Z,2026-08-07T00:15:00Z,COMPLETED,PATROL_OFFICER,Security escort request.
38,3,43,CCTV_FAULT,2,2026-08-02T03:15:00Z,2026-08-02T06:28:00Z,PENDING,CCTV_TECHNICIAN,CCTV fault request.
39,4,13,THEFT_REPORT,4,2026-08-04T21:55:00Z,2026-08-04T22:20:00Z,COMPLETED,INVESTIGATION_TEAM,Theft report request.
40,30,36,WELFARE_CHECK,3,2026-08-06T20:35:00Z,2026-08-06T22:33:00Z,COMPLETED,PATROL_OFFICER,Welfare check request.
41,45,39,SECURITY_ESCORT,3,2026-08-01T15:05:00Z,2026-08-01T16:42:00Z,COMPLETED,PATROL_OFFICER,Security escort request.
42,30,26,THEFT_REPORT,3,2026-08-03T12:54:00Z,2026-08-03T14:11:00Z,ASSIGNED,INVESTIGATION_TEAM,Theft report request.
43,25,10,NIGHT_PATROL_REQUEST,2,2026-08-04T03:18:00Z,2026-08-04T08:23:00Z,COMPLETED,MOTORCYCLE_PATROL,Night patrol request.
44,4,31,WELFARE_CHECK,3,2026-08-01T12:32:00Z,2026-08-01T14:10:00Z,PENDING,PATROL_OFFICER,Welfare check request.
45,4,32,ACCESS_CONTROL,2,2026-08-03T14:12:00Z,2026-08-03T16:40:00Z,COMPLETED,PATROL_OFFICER,Access control request.
46,44,13,ACCESS_CONTROL,2,2026-08-04T20:23:00Z,2026-08-05T01:22:00Z,COMPLETED,PATROL_OFFICER,Access control request.
47,3,36,ROAD_OBSTRUCTION,4,2026-08-03T10:08:00Z,2026-08-03T10:34:00Z,COMPLETED,PATROL_VEHICLE,Road obstruction request.
48,45,28,CCTV_FAULT,1,2026-08-02T17:13:00Z,2026-08-03T01:47:00Z,COMPLETED,CCTV_TECHNICIAN,CCTV fault request.
49,30,22,SECURITY_ESCORT,2,2026-08-04T09:04:00Z,2026-08-04T12:17:00Z,COMPLETED,PATROL_OFFICER,Security escort request.
50,30,1,SECURITY_ESCORT,3,2026-08-03T19:49:00Z,2026-08-03T20:46:00Z,COMPLETED,PATROL_OFFICER,Security escort request.
51,25,14,CROWD_CONTROL,5,2026-08-04T00:18:00Z,2026-08-04T00:38:00Z,COMPLETED,CROWD_CONTROL_TEAM,Crowd control request.
52,30,3,CCTV_FAULT,2,2026-08-06T18:21:00Z,2026-08-06T20:24:00Z,PENDING,CCTV_TECHNICIAN,CCTV fault request.
53,30,29,MEDICAL_EMERGENCY,5,2026-08-02T15:22:00Z,2026-08-02T15:38:00Z,COMPLETED,AMBULANCE,Medical emergency request.
54,45,10,THEFT_REPORT,4,2026-08-03T02:37:00Z,2026-08-03T03:01:00Z,PENDING,INVESTIGATION_TEAM,Theft report request.
55,25,37,CCTV_FAULT,2,2026-08-03T09:05:00Z,2026-08-03T14:57:00Z,IN_PROGRESS,CCTV_TECHNICIAN,CCTV fault request.
56,3,13,NIGHT_PATROL_REQUEST,2,2026-08-01T21:59:00Z,2026-08-02T01:50:00Z,COMPLETED,MOTORCYCLE_PATROL,Night patrol request.
57,45,21,WELFARE_CHECK,2,2026-08-02T22:45:00Z,2026-08-03T00:54:00Z,IN_PROGRESS,PATROL_OFFICER,Welfare check request.
58,3,48,SECURITY_ESCORT,3,2026-08-03T09:53:00Z,2026-08-03T10:45:00Z,IN_PROGRESS,PATROL_OFFICER,Security escort request.
59,45,13,SECURITY_ESCORT,4,2026-08-03T17:25:00Z,2026-08-03T18:03:00Z,ASSIGNED,PATROL_OFFICER,Security escort request.
60,3,18,THEFT_REPORT,3,2026-08-02T21:43:00Z,2026-08-02T23:41:00Z,ASSIGNED,INVESTIGATION_TEAM,Theft report request.
61,1,14,SECURITY_ESCORT,3,2026-08-07T01:49:00Z,2026-08-07T03:21:00Z,COMPLETED,PATROL_OFFICER,Security escort request.
62,30,39,CCTV_FAULT,3,2026-08-02T08:57:00Z,2026-08-02T10:24:00Z,PENDING,CCTV_TECHNICIAN,CCTV fault request.
63,4,14,ROAD_OBSTRUCTION,3,2026-08-05T10:05:00Z,2026-08-05T11:37:00Z,IN_PROGRESS,PATROL_VEHICLE,Road obstruction request.
64,30,20,SECURITY_ESCORT,3,2026-08-04T00:03:00Z,2026-08-04T01:31:00Z,PENDING,PATROL_OFFICER,Security escort request.
65,44,50,CROWD_CONTROL,4,2026-08-05T20:59:00Z,2026-08-05T21:36:00Z,CANCELLED,CROWD_CONTROL_TEAM,Crowd control request.
66,1,32,CROWD_CONTROL,4,2026-08-06T02:04:00Z,2026-08-06T02:49:00Z,IN_PROGRESS,CROWD_CONTROL_TEAM,Crowd control request.
67,1,11,FIRE_ALARM,5,2026-08-05T11:21:00Z,2026-08-05T11:31:00Z,PENDING,FIRE_RESPONSE_UNIT,Fire alarm request.
68,45,22,CCTV_FAULT,2,2026-08-06T20:21:00Z,2026-08-07T00:37:00Z,IN_PROGRESS,CCTV_TECHNICIAN,CCTV fault request.
69,45,33,SUSPICIOUS_ACTIVITY,4,2026-08-07T05:06:00Z,2026-08-07T05:49:00Z,COMPLETED,PATROL_OFFICER,Suspicious activity request.
70,3,40,WELFARE_CHECK,2,2026-08-03T05:31:00Z,2026-08-03T09:06:00Z,PENDING,PATROL_OFFICER,Welfare check request.
71,30,1,CCTV_FAULT,1,2026-08-02T19:01:00Z,2026-08-03T01:12:00Z,COMPLETED,CCTV_TECHNICIAN,CCTV fault request.
72,4,19,CCTV_FAULT,2,2026-08-05T01:35:00Z,2026-08-05T05:20:00Z,ASSIGNED,CCTV_TECHNICIAN,CCTV fault request.
73,30,48,SUSPICIOUS_ACTIVITY,4,2026-08-06T14:50:00Z,2026-08-06T15:24:00Z,PENDING,PATROL_OFFICER,Suspicious activity request.
74,25,36,MEDICAL_EMERGENCY,4,2026-08-04T05:08:00Z,2026-08-04T05:30:00Z,PENDING,AMBULANCE,Medical emergency request.
75,44,22,MEDICAL_EMERGENCY,5,2026-08-05T21:56:00Z,2026-08-05T22:11:00Z,PENDING,AMBULANCE,Medical emergency request.
76,1,27,WELFARE_CHECK,3,2026-08-03T12:49:00Z,2026-08-03T14:06:00Z,ASSIGNED,PATROL_OFFICER,Welfare check request.
77,4,5,THEFT_REPORT,2,2026-08-06T06:38:00Z,2026-08-06T11:49:00Z,COMPLETED,INVESTIGATION_TEAM,Theft report request.
78,1,32,SECURITY_ESCORT,3,2026-08-03T01:01:00Z,2026-08-03T02:16:00Z,PENDING,PATROL_OFFICER,Security escort request.
79,30,38,SECURITY_ESCORT,2,2026-08-06T03:37:00Z,2026-08-06T07:54:00Z,IN_PROGRESS,PATROL_OFFICER,Security escort request.
80,45,23,SUSPICIOUS_ACTIVITY,4,2026-08-02T09:35:00Z,2026-08-02T10:14:00Z,PENDING,PATROL_OFFICER,Suspicious activity request.
81,45,44,EMERGENCY_TRANSPORT,4,2026-08-06T08:18:00Z,2026-08-06T08:50:00Z,COMPLETED,RAPID_RESPONSE_TEAM,Emergency transport request.
82,1,32,SUSPICIOUS_ACTIVITY,5,2026-08-03T20:06:00Z,2026-08-03T20:21:00Z,COMPLETED,PATROL_OFFICER,Suspicious activity request.
83,44,5,ROAD_OBSTRUCTION,4,2026-08-02T07:56:00Z,2026-08-02T08:21:00Z,IN_PROGRESS,PATROL_VEHICLE,Road obstruction request.
84,25,14,THEFT_REPORT,2,2026-08-05T19:33:00Z,2026-08-05T22:37:00Z,PENDING,INVESTIGATION_TEAM,Theft report request.
85,45,19,THEFT_REPORT,4,2026-08-02T20:39:00Z,2026-08-02T21:24:00Z,ASSIGNED,INVESTIGATION_TEAM,Theft report request.
86,30,18,SECURITY_ESCORT,2,2026-08-06T08:00:00Z,2026-08-06T10:05:00Z,COMPLETED,PATROL_OFFICER,Security escort request.
87,1,44,SECURITY_ESCORT,3,2026-08-05T13:29:00Z,2026-08-05T14:34:00Z,PENDING,PATROL_OFFICER,Security escort request.
88,1,23,ROAD_OBSTRUCTION,3,2026-08-04T22:52:00Z,2026-08-04T23:45:00Z,PENDING,PATROL_VEHICLE,Road obstruction request.
89,3,28,THEFT_REPORT,3,2026-08-02T11:57:00Z,2026-08-02T13:04:00Z,PENDING,INVESTIGATION_TEAM,Theft report request.
90,3,20,SUSPICIOUS_ACTIVITY,3,2026-08-04T21:25:00Z,2026-08-04T23:11:00Z,ASSIGNED,PATROL_OFFICER,Suspicious activity request.
91,4,16,EMERGENCY_TRANSPORT,5,2026-08-04T22:52:00Z,2026-08-04T23:11:00Z,COMPLETED,RAPID_RESPONSE_TEAM,Emergency transport request.
92,30,3,EMERGENCY_TRANSPORT,4,2026-08-01T17:11:00Z,2026-08-01T17:36:00Z,IN_PROGRESS,RAPID_RESPONSE_TEAM,Emergency transport request.
93,44,34,WELFARE_CHECK,4,2026-08-04T04:36:00Z,2026-08-04T05:20:00Z,ASSIGNED,PATROL_OFFICER,Welfare check request.
94,25,40,CROWD_CONTROL,4,2026-08-05T03:51:00Z,2026-08-05T04:30:00Z,PENDING,CROWD_CONTROL_TEAM,Crowd control request.
95,44,12,CROWD_CONTROL,4,2026-08-04T22:25:00Z,2026-08-04T22:52:00Z,ASSIGNED,CROWD_CONTROL_TEAM,Crowd control request.
96,30,16,ACCESS_CONTROL,2,2026-08-02T08:31:00Z,2026-08-02T12:39:00Z,ASSIGNED,PATROL_OFFICER,Access control request.
97,30,33,ACCESS_CONTROL,2,2026-08-01T06:21:00Z,2026-08-01T09:13:00Z,PENDING,PATROL_OFFICER,Access control request.
98,25,13,CROWD_CONTROL,4,2026-08-04T04:08:00Z,2026-08-04T04:46:00Z,IN_PROGRESS,CROWD_CONTROL_TEAM,Crowd control request.
99,25,14,SUSPICIOUS_ACTIVITY,3,2026-08-06T23:18:00Z,2026-08-07T00:57:00Z,IN_PROGRESS,PATROL_OFFICER,Suspicious activity request.
100,30,24,SECURITY_ESCORT,3,2026-08-02T14:26:00Z,2026-08-02T15:21:00Z,IN_PROGRESS,PATROL_OFFICER,Security escort request.
101,3,11,ROAD_OBSTRUCTION,3,2026-08-01T20:48:00Z,2026-08-01T22:29:00Z,COMPLETED,PATROL_VEHICLE,Road obstruction request.
102,30,28,CROWD_CONTROL,4,2026-08-05T10:14:00Z,2026-08-05T10:54:00Z,COMPLETED,CROWD_CONTROL_TEAM,Crowd control request.
103,44,21,FIRE_ALARM,5,2026-08-06T01:38:00Z,2026-08-06T01:54:00Z,PENDING,FIRE_RESPONSE_UNIT,Fire alarm request.
104,1,40,SUSPICIOUS_ACTIVITY,4,2026-08-02T22:37:00Z,2026-08-02T23:00:00Z,COMPLETED,PATROL_OFFICER,Suspicious activity request.
105,25,12,NIGHT_PATROL_REQUEST,2,2026-08-06T16:18:00Z,2026-08-06T18:50:00Z,ASSIGNED,MOTORCYCLE_PATROL,Night patrol request.
106,30,28,MEDICAL_EMERGENCY,5,2026-08-06T14:17:00Z,2026-08-06T14:34:00Z,ASSIGNED,AMBULANCE,Medical emergency request.
107,45,15,CCTV_FAULT,1,2026-08-06T23:18:00Z,2026-08-07T09:40:00Z,PENDING,CCTV_TECHNICIAN,CCTV fault request.
108,30,25,ACCESS_CONTROL,3,2026-08-03T15:13:00Z,2026-08-03T17:05:00Z,ASSIGNED,PATROL_OFFICER,Access control request.
109,3,10,ACCESS_CONTROL,1,2026-08-02T14:48:00Z,2026-08-02T23:19:00Z,PENDING,PATROL_OFFICER,Access control request.
110,1,20,ROAD_OBSTRUCTION,3,2026-08-02T08:19:00Z,2026-08-02T09:32:00Z,ASSIGNED,PATROL_VEHICLE,Road obstruction request.
111,25,24,SUSPICIOUS_ACTIVITY,4,2026-08-02T21:14:00Z,2026-08-02T21:37:00Z,COMPLETED,PATROL_OFFICER,Suspicious activity request.
112,45,1,SUSPICIOUS_ACTIVITY,3,2026-08-06T05:09:00Z,2026-08-06T06:01:00Z,PENDING,PATROL_OFFICER,Suspicious activity request.
113,4,41,CCTV_FAULT,1,2026-08-02T11:40:00Z,2026-08-02T23:31:00Z,COMPLETED,CCTV_TECHNICIAN,CCTV fault request.
114,25,36,WELFARE_CHECK,3,2026-08-04T03:02:00Z,2026-08-04T05:01:00Z,PENDING,PATROL_OFFICER,Welfare check request.
115,44,35,SECURITY_ESCORT,4,2026-08-01T07:12:00Z,2026-08-01T07:57:00Z,PENDING,PATROL_OFFICER,Security escort request.
116,44,50,CCTV_FAULT,2,2026-08-03T17:37:00Z,2026-08-03T23:37:00Z,IN_PROGRESS,CCTV_TECHNICIAN,CCTV fault request.
117,45,35,SUSPICIOUS_ACTIVITY,4,2026-08-06T16:49:00Z,2026-08-06T17:27:00Z,PENDING,PATROL_OFFICER,Suspicious activity request.
118,25,15,SUSPICIOUS_ACTIVITY,4,2026-08-06T02:00:00Z,2026-08-06T02:20:00Z,COMPLETED,PATROL_OFFICER,Suspicious activity request.
119,44,7,SUSPICIOUS_ACTIVITY,4,2026-08-07T02:49:00Z,2026-08-07T03:26:00Z,ASSIGNED,PATROL_OFFICER,Suspicious activity request.
120,44,33,THEFT_REPORT,3,2026-08-02T14:08:00Z,2026-08-02T15:44:00Z,PENDING,INVESTIGATION_TEAM,Theft report request.
121,1,33,CCTV_FAULT,3,2026-08-07T00:10:00Z,2026-08-07T02:06:00Z,ASSIGNED,CCTV_TECHNICIAN,CCTV fault request.
122,30,10,SUSPICIOUS_ACTIVITY,4,2026-08-07T05:58:00Z,2026-08-07T06:21:00Z,PENDING,PATROL_OFFICER,Suspicious activity request.
123,45,10,ACCESS_CONTROL,2,2026-08-02T10:09:00Z,2026-08-02T12:25:00Z,COMPLETED,PATROL_OFFICER,Access control request.
124,44,41,ROAD_OBSTRUCTION,4,2026-08-06T06:36:00Z,2026-08-06T07:21:00Z,COMPLETED,PATROL_VEHICLE,Road obstruction request.
125,25,18,CCTV_FAULT,2,2026-08-03T19:09:00Z,2026-08-04T00:22:00Z,COMPLETED,CCTV_TECHNICIAN,CCTV fault request.
126,44,15,NIGHT_PATROL_REQUEST,3,2026-08-03T23:43:00Z,2026-08-04T01:40:00Z,COMPLETED,MOTORCYCLE_PATROL,Night patrol request.
127,44,21,SECURITY_ESCORT,4,2026-08-06T23:49:00Z,2026-08-07T00:29:00Z,PENDING,PATROL_OFFICER,Security escort request.
128,1,14,ACCESS_CONTROL,2,2026-08-06T23:58:00Z,2026-08-07T03:10:00Z,COMPLETED,PATROL_OFFICER,Access control request.
129,4,18,SUSPICIOUS_ACTIVITY,4,2026-08-05T21:01:00Z,2026-08-05T21:31:00Z,ASSIGNED,PATROL_OFFICER,Suspicious activity request.
130,4,40,MEDICAL_EMERGENCY,5,2026-08-02T12:37:00Z,2026-08-02T12:47:00Z,PENDING,AMBULANCE,Medical emergency request.
131,44,36,THEFT_REPORT,2,2026-08-04T05:43:00Z,2026-08-04T10:10:00Z,PENDING,INVESTIGATION_TEAM,Theft report request.
132,30,22,SECURITY_ESCORT,4,2026-08-04T15:26:00Z,2026-08-04T15:58:00Z,COMPLETED,PATROL_OFFICER,Security escort request.
133,44,30,ROAD_OBSTRUCTION,3,2026-08-06T23:49:00Z,2026-08-07T00:34:00Z,COMPLETED,PATROL_VEHICLE,Road obstruction request.
134,44,29,WELFARE_CHECK,4,2026-08-03T06:25:00Z,2026-08-03T06:47:00Z,IN_PROGRESS,PATROL_OFFICER,Welfare check request.
135,44,22,ROAD_OBSTRUCTION,2,2026-08-05T15:11:00Z,2026-08-05T19:41:00Z,PENDING,PATROL_VEHICLE,Road obstruction request.
136,4,43,WELFARE_CHECK,3,2026-08-06T03:58:00Z,2026-08-06T04:59:00Z,PENDING,PATROL_OFFICER,Welfare check request.
137,30,5,SUSPICIOUS_ACTIVITY,4,2026-08-02T10:05:00Z,2026-08-02T10:25:00Z,PENDING,PATROL_OFFICER,Suspicious activity request.
138,1,31,ACCESS_CONTROL,2,2026-08-01T14:34:00Z,2026-08-01T17:23:00Z,COMPLETED,PATROL_OFFICER,Access control request.
139,3,21,NIGHT_PATROL_REQUEST,2,2026-08-02T19:48:00Z,2026-08-03T01:33:00Z,ASSIGNED,MOTORCYCLE_PATROL,Night patrol request.
140,3,21,ROAD_OBSTRUCTION,3,2026-08-06T01:38:00Z,2026-08-06T02:32:00Z,COMPLETED,PATROL_VEHICLE,Road obstruction request.
141,44,20,FIRE_ALARM,5,2026-08-02T15:33:00Z,2026-08-02T15:51:00Z,ASSIGNED,FIRE_RESPONSE_UNIT,Fire alarm request.
142,1,32,SECURITY_ESCORT,3,2026-08-04T10:52:00Z,2026-08-04T11:53:00Z,IN_PROGRESS,PATROL_OFFICER,Security escort request.
143,30,11,SUSPICIOUS_ACTIVITY,5,2026-08-04T20:23:00Z,2026-08-04T20:41:00Z,ASSIGNED,PATROL_OFFICER,Suspicious activity request.
144,45,14,SECURITY_ESCORT,4,2026-08-05T21:07:00Z,2026-08-05T21:51:00Z,PENDING,PATROL_OFFICER,Security escort request.
145,45,37,SUSPICIOUS_ACTIVITY,4,2026-08-03T10:39:00Z,2026-08-03T11:03:00Z,CANCELLED,PATROL_OFFICER,Suspicious activity request.
146,25,11,ACCESS_CONTROL,2,2026-08-06T13:31:00Z,2026-08-06T18:07:00Z,COMPLETED,PATROL_OFFICER,Access control request.
147,45,22,SUSPICIOUS_ACTIVITY,4,2026-08-06T10:42:00Z,2026-08-06T11:22:00Z,COMPLETED,PATROL_OFFICER,Suspicious activity request.
148,30,38,SUSPICIOUS_ACTIVITY,3,2026-08-01T22:47:00Z,2026-08-02T00:39:00Z,COMPLETED,PATROL_OFFICER,Suspicious activity request.
149,4,20,WELFARE_CHECK,3,2026-08-06T23:54:00Z,2026-08-07T01:06:00Z,COMPLETED,PATROL_OFFICER,Welfare check request.
150,3,34,SECURITY_ESCORT,2,2026-08-03T18:49:00Z,2026-08-04T00:19:00Z,CANCELLED,PATROL_OFFICER,Security escort request.
151,1,3,NIGHT_PATROL_REQUEST,2,2026-08-04T16:40:00Z,2026-08-04T21:54:00Z,IN_PROGRESS,MOTORCYCLE_PATROL,Night patrol request.
152,25,7,MEDICAL_EMERGENCY,5,2026-08-06T18:29:00Z,2026-08-06T18:47:00Z,COMPLETED,AMBULANCE,Medical emergency request.
153,1,25,MEDICAL_EMERGENCY,5,2026-08-01T20:35:00Z,2026-08-01T20:46:00Z,PENDING,AMBULANCE,Medical emergency request.
154,45,16,EMERGENCY_TRANSPORT,3,2026-08-06T16:43:00Z,2026-08-06T18:39:00Z,COMPLETED,RAPID_RESPONSE_TEAM,Emergency transport request.
155,25,16,SUSPICIOUS_ACTIVITY,4,2026-08-02T19:56:00Z,2026-08-02T20:32:00Z,IN_PROGRESS,PATROL_OFFICER,Suspicious activity request.
156,4,12,ROAD_OBSTRUCTION,3,2026-08-05T06:49:00Z,2026-08-05T08:02:00Z,PENDING,PATROL_VEHICLE,Road obstruction request.
157,3,32,ROAD_OBSTRUCTION,3,2026-08-03T13:29:00Z,2026-08-03T14:37:00Z,COMPLETED,PATROL_VEHICLE,Road obstruction request.
158,44,36,SECURITY_ESCORT,4,2026-08-02T03:11:00Z,2026-08-02T03:49:00Z,COMPLETED,PATROL_OFFICER,Security escort request.
159,45,22,WELFARE_CHECK,3,2026-08-03T06:23:00Z,2026-08-03T08:15:00Z,PENDING,PATROL_OFFICER,Welfare check request.
160,4,14,EMERGENCY_TRANSPORT,4,2026-08-04T01:36:00Z,2026-08-04T02:14:00Z,PENDING,RAPID_RESPONSE_TEAM,Emergency transport request.
161,44,23,NIGHT_PATROL_REQUEST,1,2026-08-05T09:37:00Z,2026-08-05T19:40:00Z,ASSIGNED,MOTORCYCLE_PATROL,Night patrol request.
162,30,36,MEDICAL_EMERGENCY,5,2026-08-07T02:47:00Z,2026-08-07T02:57:00Z,IN_PROGRESS,AMBULANCE,Medical emergency request.
163,45,25,ROAD_OBSTRUCTION,3,2026-08-05T20:45:00Z,2026-08-05T21:39:00Z,COMPLETED,PATROL_VEHICLE,Road obstruction request.
164,44,24,MEDICAL_EMERGENCY,5,2026-08-06T11:22:00Z,2026-08-06T11:41:00Z,PENDING,AMBULANCE,Medical emergency request.
165,44,22,MEDICAL_EMERGENCY,5,2026-08-03T21:22:00Z,2026-08-03T21:33:00Z,ASSIGNED,AMBULANCE,Medical emergency request.
166,1,18,CCTV_FAULT,2,2026-08-04T20:19:00Z,2026-08-04T23:30:00Z,ASSIGNED,CCTV_TECHNICIAN,CCTV fault request.
167,25,32,THEFT_REPORT,4,2026-08-04T20:20:00Z,2026-08-04T21:01:00Z,ASSIGNED,INVESTIGATION_TEAM,Theft report request.
168,44,15,ACCESS_CONTROL,2,2026-08-04T02:32:00Z,2026-08-04T06:48:00Z,COMPLETED,PATROL_OFFICER,Access control request.
169,30,26,SUSPICIOUS_ACTIVITY,5,2026-08-06T10:52:00Z,2026-08-06T11:09:00Z,COMPLETED,PATROL_OFFICER,Suspicious activity request.
170,3,20,ACCESS_CONTROL,1,2026-08-01T07:28:00Z,2026-08-01T15:33:00Z,PENDING,PATROL_OFFICER,Access control request.
171,25,50,MEDICAL_EMERGENCY,5,2026-08-02T19:15:00Z,2026-08-02T19:32:00Z,ASSIGNED,AMBULANCE,Medical emergency request.
172,45,28,SUSPICIOUS_ACTIVITY,3,2026-08-04T04:25:00Z,2026-08-04T06:09:00Z,IN_PROGRESS,PATROL_OFFICER,Suspicious activity request.
173,3,12,EMERGENCY_TRANSPORT,5,2026-08-06T23:16:00Z,2026-08-06T23:27:00Z,IN_PROGRESS,RAPID_RESPONSE_TEAM,Emergency transport request.
174,1,21,CROWD_CONTROL,4,2026-08-02T12:32:00Z,2026-08-02T13:10:00Z,COMPLETED,CROWD_CONTROL_TEAM,Crowd control request.
175,4,6,ACCESS_CONTROL,1,2026-08-05T22:17:00Z,2026-08-06T07:21:00Z,PENDING,PATROL_OFFICER,Access control request.
176,25,43,WELFARE_CHECK,3,2026-08-07T03:39:00Z,2026-08-07T05:35:00Z,COMPLETED,PATROL_OFFICER,Welfare check request.
